Round,Dataset,Local_Class,Accuracy
5,EMNIST,28,14.39
5,EMNIST,29,88.0
5,EMNIST,30,66.7
5,EMNIST,31,91.02
5,EMNIST,32,91.41
5,EMNIST,33,81.17
5,EMNIST,34,76.03
5,EMNIST,35,65.88
5,EMNIST,36,85.89
5,EMNIST,37,92.14
5,EMNIST,38,55.22
5,EMNIST,39,93.86
5,EMNIST,40,87.63
5,EMNIST,41,88.46
5,EMNIST,42,56.72
5,EMNIST,43,94.42
5,EMNIST,44,32.65
5,EMNIST,45,92.04
5,EMNIST,46,50.47
5,EMNIST,47,58.66
5,EMNIST,48,82.94
5,EMNIST,49,91.43
5,EMNIST,50,24.53
5,EMNIST,51,66.27
5,EMNIST,52,68.7
5,EMNIST,53,91.9
5,EMNIST,54,37.69
5,EMNIST,55,92.1
5,EMNIST,56,53.76
5,EMNIST,57,3.29
5,EMNIST,58,44.71
5,EMNIST,59,63.79
5,EMNIST,60,57.93
5,EMNIST,61,77.07
5,CIFAR10,0,57.47
5,CIFAR10,1,35.38
5,CIFAR10,2,34.62
5,CIFAR10,3,49.45
5,CIFAR10,4,14.73
5,CIFAR10,5,60.77
5,CIFAR10,6,54.62
5,CIFAR10,7,43.3
5,CIFAR10,8,56.7
5,CIFAR10,9,62.42
6,MNIST,0,98.99
6,MNIST,1,98.64
6,MNIST,2,98.94
6,MNIST,3,99.89
6,MNIST,4,95.97
6,MNIST,5,98.52
6,MNIST,6,97.01
6,MNIST,7,99.14
6,MNIST,8,98.19
6,MNIST,9,99.35
6,EMNIST,0,65.12
6,EMNIST,1,67.75
6,EMNIST,2,88.53
6,EMNIST,3,98.27
6,EMNIST,4,91.99
6,EMNIST,5,90.76
6,EMNIST,6,83.4
6,EMNIST,7,98.49
6,EMNIST,8,93.48
6,EMNIST,9,87.21
6,EMNIST,10,96.17
6,EMNIST,11,97.12
6,EMNIST,12,23.21
6,EMNIST,13,91.4
6,EMNIST,14,98.71
6,EMNIST,15,42.14
6,EMNIST,16,95.33
6,EMNIST,17,95.15
6,EMNIST,18,38.94
6,EMNIST,19,79.65
6,EMNIST,20,43.97
6,EMNIST,21,94.44
6,EMNIST,22,57.63
6,EMNIST,23,97.56
6,EMNIST,24,53.64
6,EMNIST,25,73.39
6,EMNIST,26,89.89
6,EMNIST,27,96.88
6,EMNIST,28,23.73
6,EMNIST,29,96.09
6,EMNIST,30,79.56
6,EMNIST,31,47.65
6,EMNIST,32,63.98
6,EMNIST,33,83.46
6,EMNIST,34,55.51
6,EMNIST,35,94.79
6,EMNIST,36,84.75
6,EMNIST,37,94.33
6,EMNIST,38,87.79
6,EMNIST,39,96.73
6,EMNIST,40,97.8
6,EMNIST,41,89.01
6,EMNIST,42,41.6
6,EMNIST,43,94.8
6,EMNIST,44,74.29
6,EMNIST,45,83.04
6,EMNIST,46,85.61
6,EMNIST,47,18.87
6,EMNIST,48,61.14
6,EMNIST,49,92.24
6,EMNIST,50,20.99
6,EMNIST,51,70.15
