Round,Dataset,Local_Class,Accuracy
28,EMNIST,19,41.4
28,EMNIST,20,37.64
28,EMNIST,21,61.74
28,EMNIST,22,79.63
28,EMNIST,23,40.52
28,EMNIST,24,6.75
28,EMNIST,25,6.85
28,EMNIST,26,13.56
28,EMNIST,27,49.73
28,EMNIST,28,18.5
28,EMNIST,29,49.62
28,EMNIST,30,75.82
28,EMNIST,31,5.11
28,EMNIST,32,0.41
28,EMNIST,33,18.58
28,EMNIST,34,1.79
28,EMNIST,35,6.87
28,EMNIST,36,66.15
28,EMNIST,37,30.54
28,EMNIST,38,31.3
28,EMNIST,39,70.92
28,EMNIST,40,74.01
28,EMNIST,41,39.29
28,EMNIST,42,20.52
28,EMNIST,43,95.24
28,EMNIST,44,70.69
28,EMNIST,45,0.35
28,EMNIST,46,3.77
28,EMNIST,47,0.13
28,EMNIST,48,5.92
28,EMNIST,49,35.86
28,EMNIST,50,6.13
28,EMNIST,51,12.54
28,EMNIST,52,28.04
28,EMNIST,53,38.01
28,EMNIST,54,37.94
28,EMNIST,55,55.79
28,EMNIST,56,0.23
28,EMNIST,57,1.64
28,EMNIST,58,37.65
28,EMNIST,59,6.31
28,EMNIST,60,0.29
28,EMNIST,61,41.71
28,CIFAR10,0,30.11
28,CIFAR10,1,52.75
28,CIFAR10,2,13.96
28,CIFAR10,3,27.25
28,CIFAR10,4,18.68
28,CIFAR10,5,28.24
28,CIFAR10,6,35.05
28,CIFAR10,7,64.62
28,CIFAR10,8,25.82
28,CIFAR10,9,68.35
29,MNIST,0,98.65
29,MNIST,1,97.77
29,MNIST,2,94.57
29,MNIST,3,98.15
29,MNIST,4,93.28
29,MNIST,5,78.91
29,MNIST,6,90.59
29,MNIST,7,93.9
29,MNIST,8,89.73
29,MNIST,9,92.81
29,EMNIST,0,92.84
29,EMNIST,1,7.3
29,EMNIST,2,93.7
29,EMNIST,3,3.21
29,EMNIST,4,92.37
29,EMNIST,5,77.71
29,EMNIST,6,0.0
29,EMNIST,7,34.76
29,EMNIST,8,3.77
29,EMNIST,9,21.47
29,EMNIST,10,23.71
29,EMNIST,11,5.59
29,EMNIST,12,14.42
29,EMNIST,13,10.72
29,EMNIST,14,48.58
29,EMNIST,15,23.66
29,EMNIST,16,11.3
29,EMNIST,17,5.06
29,EMNIST,18,0.64
29,EMNIST,19,49.3
29,EMNIST,20,20.4
29,EMNIST,21,39.76
29,EMNIST,22,60.67
29,EMNIST,23,47.84
29,EMNIST,24,8.86
29,EMNIST,25,0.79
29,EMNIST,26,0.53
29,EMNIST,27,33.7
29,EMNIST,28,7.65
29,EMNIST,29,76.27
29,EMNIST,30,23.13
29,EMNIST,31,9.67
29,EMNIST,32,0.14
29,EMNIST,33,11.7
29,EMNIST,34,4.96
29,EMNIST,35,8.77
29,EMNIST,36,17.73
29,EMNIST,37,2.71
29,EMNIST,38,12.98
29,EMNIST,39,52.42
29,EMNIST,40,73.68
29,EMNIST,41,18.13
29,EMNIST,42,3.17
29,EMNIST,43,95.61
29,EMNIST,44,92.29
29,EMNIST,45,55.02
29,EMNIST,46,1.18
29,EMNIST,47,0.26
29,EMNIST,48,9.95
29,EMNIST,49,47.68
29,EMNIST,50,0.0
29,EMNIST,51,41.79
29,EMNIST,52,25.43
29,EMNIST,53,61.23
29,EMNIST,54,74.62
29,EMNIST,55,76.22
29,EMNIST,56,1.82
29,EMNIST,57,19.48
29,EMNIST,58,41.18
29,EMNIST,59,9.58
29,EMNIST,60,17.0
29,EMNIST,61,30.73
29,CIFAR10,0,45.38
29,CIFAR10,1,63.52
29,CIFAR10,2,17.03
29,CIFAR10,3,16.26
29,CIFAR10,4,29.67
29,CIFAR10,5,32.64
29,CIFAR10,6,51.65
29,CIFAR10,7,61.43
29,CIFAR10,8,36.7
29,CIFAR10,9,48.13
30,MNIST,0,99.33
30,MNIST,1,95.64
30,MNIST,2,96.17
30,MNIST,3,93.8
30,MNIST,4,94.96
30,MNIST,5,92.97
30,MNIST,6,74.05
30,MNIST,7,89.52
30,MNIST,8,88.83
30,MNIST,9,92.81
30,EMNIST,0,93.68
30,EMNIST,1,0.12
30,EMNIST,2,96.18
30,EMNIST,3,6.08
30,EMNIST,4,96.81
30,EMNIST,5,88.6
30,EMNIST,6,0.0
30,EMNIST,7,22.7
30,EMNIST,8,3.22
30,EMNIST,9,35.55
30,EMNIST,10,42.24
30,EMNIST,11,26.95
30,EMNIST,12,7.34
30,EMNIST,13,11.42
30,EMNIST,14,53.1
30,EMNIST,15,66.87
30,EMNIST,16,61.92
30,EMNIST,17,4.22
30,EMNIST,18,0.0
30,EMNIST,19,58.77
30,EMNIST,20,42.82
30,EMNIST,21,25.1
30,EMNIST,22,71.48
30,EMNIST,23,84.78
30,EMNIST,24,8.49
30,EMNIST,25,32.44
30,EMNIST,26,0.27
30,EMNIST,27,62.64
30,EMNIST,28,6.36
30,EMNIST,29,62.46
30,EMNIST,30,26.98
30,EMNIST,31,18.65
30,EMNIST,32,0.82
30,EMNIST,33,43.0
30,EMNIST,34,8.54
30,EMNIST,35,6.16
30,EMNIST,36,40.27
30,EMNIST,37,2.84
30,EMNIST,38,2.54
30,EMNIST,39,46.27
30,EMNIST,40,71.13
30,EMNIST,41,4.4
30,EMNIST,42,6.9
30,EMNIST,43,95.02
30,EMNIST,44,87.66
30,EMNIST,45,55.02
30,EMNIST,46,6.37
30,EMNIST,47,0.95
30,EMNIST,48,8.77
30,EMNIST,49,23.93
30,EMNIST,50,0.71
30,EMNIST,51,17.01
30,EMNIST,52,15.65
30,EMNIST,53,51.47
30,EMNIST,54,51.26
30,EMNIST,55,43.06
30,EMNIST,56,1.37
30,EMNIST,57,8.69
30,EMNIST,58,24.47
30,EMNIST,59,3.5
30,EMNIST,60,1.44
30,EMNIST,61,20.49
30,CIFAR10,0,23.96
30,CIFAR10,1,52.97
30,CIFAR10,2,16.92
30,CIFAR10,3,55.16
30,CIFAR10,4,8.35
30,CIFAR10,5,9.23
30,CIFAR10,6,61.54
30,CIFAR10,7,21.1
30,CIFAR10,8,53.52
30,CIFAR10,9,48.13
31,MNIST,0,96.97
31,MNIST,1,97.38
31,MNIST,2,93.72
31,MNIST,3,95.76
31,MNIST,4,90.26
31,MNIST,5,95.68
31,MNIST,6,93.0
31,MNIST,7,86.2
31,MNIST,8,90.86
31,MNIST,9,90.63
31,EMNIST,0,77.75
31,EMNIST,1,0.02
31,EMNIST,2,94.34
31,EMNIST,3,8.26
31,EMNIST,4,91.21
31,EMNIST,5,91.46
31,EMNIST,6,0.02
31,EMNIST,7,29.99
31,EMNIST,8,3.1
31,EMNIST,9,30.21
31,EMNIST,10,39.54
31,EMNIST,11,31.02
31,EMNIST,12,16.32
31,EMNIST,13,14.95
31,EMNIST,14,47.93
31,EMNIST,15,53.51
31,EMNIST,16,23.83
31,EMNIST,17,44.73
31,EMNIST,18,0.75
31,EMNIST,19,44.21
31,EMNIST,20,36.21
31,EMNIST,21,33.65
31,EMNIST,22,66.15
31,EMNIST,23,72.09
31,EMNIST,24,22.31
31,EMNIST,25,19.13
31,EMNIST,26,2.13
31,EMNIST,27,51.9
31,EMNIST,28,9.59
31,EMNIST,29,55.06
31,EMNIST,30,27.75
31,EMNIST,31,44.2
31,EMNIST,32,0.82
31,EMNIST,33,30.53
31,EMNIST,34,4.55
31,EMNIST,35,1.66
31,EMNIST,36,8.96
31,EMNIST,37,8.51
31,EMNIST,38,3.56
31,EMNIST,39,55.75
31,EMNIST,40,37.85
31,EMNIST,41,8.24
31,EMNIST,42,0.19
31,EMNIST,43,97.25
31,EMNIST,44,92.03
31,EMNIST,45,31.14
31,EMNIST,46,4.95
31,EMNIST,47,5.34
31,EMNIST,48,14.69
31,EMNIST,49,48.32
31,EMNIST,50,1.89
31,EMNIST,51,31.34
31,EMNIST,52,23.48
31,EMNIST,53,62.23
31,EMNIST,54,31.16
31,EMNIST,55,58.23
31,EMNIST,56,4.56
31,EMNIST,57,17.14
31,EMNIST,58,43.29
31,EMNIST,59,2.57
31,EMNIST,60,4.61
31,EMNIST,61,3.41
31,CIFAR10,0,27.25
31,CIFAR10,1,41.98
31,CIFAR10,2,43.19
31,CIFAR10,3,24.4
31,CIFAR10,4,37.14
31,CIFAR10,5,33.19
31,CIFAR10,6,53.85
31,CIFAR10,7,42.31
