dataset_a,label_a_id,label_a_name,dataset_b,label_b_id,label_b_name,score_a_to_b,score_b_to_a,relation_score,pass_threshold
MNIST,1,1,EMNIST,44,i,0.7609643936157227,0.05785731226205826,0.40941085293889046,True
MNIST,1,1,EMNIST,45,j,0.32286056876182556,0.0055603524670004845,0.16421046061441302,True
MNIST,1,1,EMNIST,46,k,0.06432390958070755,0.00018794559582602233,0.032255927588266786,False
MNIST,1,1,EMNIST,47,l,0.9432517290115356,0.2570129334926605,0.6001323312520981,True
MNIST,1,1,EMNIST,48,m,0.04493448883295059,1.8890283399741747e-06,0.022468188930645283,False
MNIST,1,1,EMNIST,49,n,0.20227539539337158,0.00010442751226946712,0.10118991145282052,True
MNIST,1,1,EMNIST,50,o,0.008150664158165455,2.692682073757169e-06,0.004076678420119606,False
MNIST,1,1,EMNIST,51,p,0.04748068377375603,1.045953558787005e-05,0.02374557165467195,False
MNIST,1,1,EMNIST,52,q,0.05265652388334274,4.1214163502445444e-05,0.026348869023422594,False
MNIST,1,1,EMNIST,53,r,0.17052796483039856,0.0006196987815201283,0.08557383180595934,False
MNIST,1,1,EMNIST,54,s,0.006885790731757879,4.263227310730144e-06,0.0034450269795343047,False
MNIST,1,1,EMNIST,55,t,0.37944740056991577,0.014248674735426903,0.19684803765267134,True
MNIST,1,1,EMNIST,56,u,0.12576988339424133,2.0079991372767836e-05,0.06289498169280705,False
MNIST,1,1,EMNIST,57,v,0.26249465346336365,0.0011702176416292787,0.13183243555249646,True
MNIST,1,1,EMNIST,58,w,0.015705019235610962,5.731957571697421e-06,0.00785537559659133,False
MNIST,1,1,EMNIST,59,x,0.10684815794229507,0.00024242835934273899,0.05354529315081891,False
MNIST,1,1,EMNIST,60,y,0.18049028515815735,0.0009685576078481972,0.09072942138300277,False
MNIST,1,1,EMNIST,61,z,0.007856869138777256,2.8887650842079893e-05,0.003942878394809668,False
MNIST,2,2,EMNIST,0,0,0.03376384824514389,0.0003402633883524686,0.01705205581674818,False
MNIST,2,2,EMNIST,1,1,0.021029114723205566,0.00017788128752727062,0.010603498005366419,False
MNIST,2,2,EMNIST,2,2,0.524955153465271,0.754905641078949,0.63993039727211,True
MNIST,2,2,EMNIST,3,3,0.09870319068431854,0.0774594396352768,0.08808131515979767,False
MNIST,2,2,EMNIST,4,4,0.0240947138518095,0.006640869192779064,0.015367791522294283,False
MNIST,2,2,EMNIST,5,5,0.10873639583587646,0.0075671011582016945,0.05815174849703908,False
MNIST,2,2,EMNIST,6,6,0.05600450560450554,0.0004446791426744312,0.028224592373589985,False
MNIST,2,2,EMNIST,7,7,0.16280950605869293,0.009318049997091293,0.08606377802789211,False
MNIST,2,2,EMNIST,8,8,0.12220311164855957,0.00034071048139594495,0.06127191106497776,False
MNIST,2,2,EMNIST,9,9,0.05800000950694084,0.0002986515173688531,0.029149330512154847,False
MNIST,2,2,EMNIST,10,A,0.04363381117582321,0.00039149526855908334,0.022012653222191148,False
MNIST,2,2,EMNIST,11,B,0.16192850470542908,0.0002405625709798187,0.08108453363820445,False
MNIST,2,2,EMNIST,12,C,0.21439239382743835,0.0061558205634355545,0.11027410719543695,True
MNIST,2,2,EMNIST,13,D,0.07887525856494904,0.0009179713088087738,0.039896614936878905,False
MNIST,2,2,EMNIST,14,E,0.18405435979366302,0.0008759057964198291,0.09246513279504143,False
MNIST,2,2,EMNIST,15,F,0.05953419953584671,0.002073290990665555,0.030803745263256133,False
MNIST,2,2,EMNIST,16,G,0.20996275544166565,0.0008156521362252533,0.10538920378894545,True
MNIST,2,2,EMNIST,17,H,0.019551249220967293,0.0004000374465249479,0.00997564333374612,False
MNIST,2,2,EMNIST,18,I,0.01716344989836216,0.000798967550508678,0.008981208724435419,False
MNIST,2,2,EMNIST,19,J,0.15552929043769836,0.0037572761066257954,0.07964328327216208,False
MNIST,2,2,EMNIST,20,K,0.07088285684585571,0.00045967852929607034,0.03567126768757589,False
MNIST,2,2,EMNIST,21,L,0.11578916013240814,0.0031126842368394136,0.05945092218462378,False
MNIST,2,2,EMNIST,22,M,0.024449210613965988,0.0029381881467998028,0.013693699380382895,False
MNIST,2,2,EMNIST,23,N,0.024970320984721184,0.00032874688622541726,0.0126495339354733,False
MNIST,2,2,EMNIST,24,O,0.05068739131093025,0.00013776388368569314,0.025412577597307973,False
MNIST,2,2,EMNIST,25,P,0.0875692218542099,0.0009690566221252084,0.044269139238167554,False
MNIST,2,2,EMNIST,26,Q,0.20449665188789368,0.0006392907234840095,0.10256797130568884,True
MNIST,2,2,EMNIST,27,R,0.14811888337135315,0.0006797835230827332,0.07439933344721794,False
MNIST,2,2,EMNIST,28,S,0.11996480077505112,0.00041719083674252033,0.06019099580589682,False
MNIST,2,2,EMNIST,29,T,0.0792035460472107,0.0030045886524021626,0.04110406734980643,False
MNIST,2,2,EMNIST,30,U,0.03067871555685997,0.0008220886811614037,0.015750402119010687,False
MNIST,2,2,EMNIST,31,V,0.03447101265192032,3.4147201404266525e-06,0.017237213686030373,False
MNIST,2,2,EMNIST,32,W,0.05759415775537491,0.0005995837273076177,0.029096870741341263,False
MNIST,2,2,EMNIST,33,X,0.06662295758724213,0.0001188630485557951,0.03337091031789896,False
MNIST,2,2,EMNIST,34,Y,0.040449224412441254,9.102672629524022e-05,0.020270125569368247,False
MNIST,2,2,EMNIST,35,Z,0.5877893567085266,0.021733736619353294,0.30476154666393995,True
MNIST,2,2,EMNIST,36,a,0.22509226202964783,0.019866807386279106,0.12247953470796347,True
MNIST,2,2,EMNIST,37,b,0.06923642754554749,0.00029819022165611386,0.0347673088836018,False
MNIST,2,2,EMNIST,38,c,0.2027394324541092,0.0012637634063139558,0.10200159793021157,True
MNIST,2,2,EMNIST,39,d,0.09896509349346161,0.0032262280583381653,0.05109566077589989,False
MNIST,2,2,EMNIST,40,e,0.19504745304584503,0.0007568455766886473,0.09790214931126684,False
MNIST,2,2,EMNIST,41,f,0.13050296902656555,0.00040062121115624905,0.0654517951188609,False
MNIST,2,2,EMNIST,42,g,0.054140180349349976,0.0007536424091085792,0.027446911379229277,False
MNIST,2,2,EMNIST,43,h,0.0680031105875969,0.0002547208277974278,0.03412891570769716,False
MNIST,2,2,EMNIST,44,i,0.032882820814847946,0.0003480974701233208,0.016615459142485633,False
MNIST,2,2,EMNIST,45,j,0.11090662330389023,0.0004963544197380543,0.05570148886181414,False
MNIST,2,2,EMNIST,46,k,0.09452998638153076,0.00012619835615623742,0.0473280923688435,False
MNIST,2,2,EMNIST,47,l,0.009209753945469856,0.000213463295949623,0.00471160862070974,False
MNIST,2,2,EMNIST,48,m,0.03866641968488693,0.000760659750085324,0.019713539717486128,False
MNIST,2,2,EMNIST,49,n,0.01892131008207798,0.0004410891269799322,0.009681199604528956,False
MNIST,2,2,EMNIST,50,o,0.08700821548700333,3.029857725778129e-05,0.043519257032130554,False
MNIST,2,2,EMNIST,51,p,0.07137321680784225,0.00012393834185786545,0.03574857757485006,False
MNIST,2,2,EMNIST,52,q,0.05148279666900635,0.00034351329668425024,0.0259131549828453,False
MNIST,2,2,EMNIST,53,r,0.030483076348900795,0.0006064981571398675,0.015544787253020331,False
MNIST,2,2,EMNIST,54,s,0.11921880394220352,0.00012902500748168677,0.059673914474842604,False
MNIST,2,2,EMNIST,55,t,0.03791217505931854,0.010017318651080132,0.023964746855199337,False
MNIST,2,2,EMNIST,56,u,0.12489495426416397,0.00022348982747644186,0.0625592220458202,False
MNIST,2,2,EMNIST,57,v,0.07549413293600082,1.739543904477614e-06,0.03774793623995265,False
MNIST,2,2,EMNIST,58,w,0.07799836248159409,0.0011940591502934694,0.03959621081594378,False
MNIST,2,2,EMNIST,59,x,0.08759120851755142,0.00015373548376373947,0.04387247200065758,False
MNIST,2,2,EMNIST,60,y,0.04127608984708786,0.00021333145559765399,0.020744710651342757,False
MNIST,2,2,EMNIST,61,z,0.47712916135787964,0.047780390828847885,0.26245477609336376,True
