Time: 2026-06-18 12:08:07
Log Dir: logs/2026-06-18_12-08-07/GeFL_DDIM_baseline_total
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_DDIM_baseline_total
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 0
  num_train_cifar100: 0
  num_train_usps: 0
  label_mapping: independent
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 30
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 20
gen_observer_weight: 0.0
index_matching: ddpm
aggregate_method: dataset_name
use_new_entropy_method: true
entropy_ratio: 0.7
cs_threshold: 0.9
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.001
global_samples_per_class: 64

================================================================================

==================================================
Start 30 rounds training by GeFL_DDIM_baseline_total
Client 13 (EMNIST) | Target Loss: 0.4187 | DDIM Loss: 0.0100
Client 14 (EMNIST) | Target Loss: 0.3955 | DDIM Loss: 0.0100
Client 15 (EMNIST) | Target Loss: 0.6002 | DDIM Loss: 0.0100
Client 16 (EMNIST) | Target Loss: 0.8744 | DDIM Loss: 0.0099
Client 17 (EMNIST) | Target Loss: 0.4800 | DDIM Loss: 0.0100
Client 18 (EMNIST) | Target Loss: 0.4021 | DDIM Loss: 0.0100
Client 19 (EMNIST) | Target Loss: 0.6161 | DDIM Loss: 0.0100
Client 20 (EMNIST) | Target Loss: 0.6294 | DDIM Loss: 0.0100
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 5 ---
Client 0 (MNIST) | Target Loss: 0.2176 | DDIM Loss: 0.0163
Client 1 (MNIST) | Target Loss: 0.1203 | DDIM Loss: 0.0159
Client 2 (MNIST) | Target Loss: 0.0697 | DDIM Loss: 0.0167
Client 3 (MNIST) | Target Loss: 0.0792 | DDIM Loss: 0.0163
Client 4 (MNIST) | Target Loss: 0.1962 | DDIM Loss: 0.0168
Client 5 (MNIST) | Target Loss: 0.7234 | DDIM Loss: 0.0162
Client 6 (MNIST) | Target Loss: 0.1562 | DDIM Loss: 0.0165
Client 7 (MNIST) | Target Loss: 0.0978 | DDIM Loss: 0.0165
Client 8 (MNIST) | Target Loss: 0.3742 | DDIM Loss: 0.0169
Client 9 (MNIST) | Target Loss: 0.3464 | DDIM Loss: 0.0169
Client 11 (EMNIST) | Target Loss: 0.5440 | DDIM Loss: 0.0092
Client 12 (EMNIST) | Target Loss: 0.4966 | DDIM Loss: 0.0091
Client 13 (EMNIST) | Target Loss: 0.3964 | DDIM Loss: 0.0092
Client 14 (EMNIST) | Target Loss: 0.3789 | DDIM Loss: 0.0091
Client 15 (EMNIST) | Target Loss: 0.5606 | DDIM Loss: 0.0091
Client 16 (EMNIST) | Target Loss: 0.8068 | DDIM Loss: 0.0091
Client 17 (EMNIST) | Target Loss: 0.4509 | DDIM Loss: 0.0091
Client 18 (EMNIST) | Target Loss: 0.3796 | DDIM Loss: 0.0092
Client 19 (EMNIST) | Target Loss: 0.5756 | DDIM Loss: 0.0092
Client 20 (EMNIST) | Target Loss: 0.5964 | DDIM Loss: 0.0092
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 6 ---
Client 0 (MNIST) | Target Loss: 0.1963 | DDIM Loss: 0.0150
Client 1 (MNIST) | Target Loss: 0.0969 | DDIM Loss: 0.0151
Client 2 (MNIST) | Target Loss: 0.0510 | DDIM Loss: 0.0151
Client 3 (MNIST) | Target Loss: 0.0980 | DDIM Loss: 0.0154
Client 4 (MNIST) | Target Loss: 0.1825 | DDIM Loss: 0.0147
Client 5 (MNIST) | Target Loss: 0.6448 | DDIM Loss: 0.0156
Client 6 (MNIST) | Target Loss: 0.1223 | DDIM Loss: 0.0149
Client 7 (MNIST) | Target Loss: 0.0872 | DDIM Loss: 0.0152
Client 8 (MNIST) | Target Loss: 0.3013 | DDIM Loss: 0.0179
Client 9 (MNIST) | Target Loss: 0.2724 | DDIM Loss: 0.0147
Client 11 (EMNIST) | Target Loss: 0.5191 | DDIM Loss: 0.0088
Client 12 (EMNIST) | Target Loss: 0.4735 | DDIM Loss: 0.0087
Client 13 (EMNIST) | Target Loss: 0.3781 | DDIM Loss: 0.0088
Client 14 (EMNIST) | Target Loss: 0.3594 | DDIM Loss: 0.0088
Client 15 (EMNIST) | Target Loss: 0.5365 | DDIM Loss: 0.0088
Client 16 (EMNIST) | Target Loss: 0.7533 | DDIM Loss: 0.0087
Client 17 (EMNIST) | Target Loss: 0.4314 | DDIM Loss: 0.0087
Client 18 (EMNIST) | Target Loss: 0.3547 | DDIM Loss: 0.0088
Client 19 (EMNIST) | Target Loss: 0.5448 | DDIM Loss: 0.0087
Client 20 (EMNIST) | Target Loss: 0.5559 | DDIM Loss: 0.0088
