Round,Dataset,Local_Class,Accuracy
29,CIFAR10,8,26.04
29,CIFAR10,9,37.91
30,MNIST,0,92.93
30,MNIST,1,17.25
30,MNIST,2,92.33
30,MNIST,3,96.19
30,MNIST,4,92.5
30,MNIST,5,87.92
30,MNIST,6,25.6
30,MNIST,7,75.83
30,MNIST,8,84.99
30,MNIST,9,15.47
30,EMNIST,0,91.34
30,EMNIST,1,41.79
30,EMNIST,2,91.51
30,EMNIST,3,95.23
30,EMNIST,4,91.07
30,EMNIST,5,90.02
30,EMNIST,6,12.99
30,EMNIST,7,43.07
30,EMNIST,8,91.1
30,EMNIST,9,21.68
30,EMNIST,10,0.0
30,EMNIST,11,12.03
30,EMNIST,12,0.0
30,EMNIST,13,4.8
30,EMNIST,14,4.13
30,EMNIST,15,1.6
30,EMNIST,16,0.49
30,EMNIST,17,3.8
30,EMNIST,18,0.0
30,EMNIST,19,17.54
30,EMNIST,20,7.76
30,EMNIST,21,0.0
30,EMNIST,22,0.07
30,EMNIST,23,0.0
30,EMNIST,24,0.0
30,EMNIST,25,1.34
30,EMNIST,26,7.98
30,EMNIST,27,5.98
30,EMNIST,28,0.0
30,EMNIST,29,0.0
30,EMNIST,30,0.0
30,EMNIST,31,0.0
30,EMNIST,32,3.82
30,EMNIST,33,2.54
30,EMNIST,34,10.19
30,EMNIST,35,0.47
30,EMNIST,36,0.0
30,EMNIST,37,0.52
30,EMNIST,38,0.0
30,EMNIST,39,0.46
30,EMNIST,40,0.0
30,EMNIST,41,3.3
30,EMNIST,42,0.0
30,EMNIST,43,0.0
30,EMNIST,44,0.0
30,EMNIST,45,0.0
30,EMNIST,46,1.18
30,EMNIST,47,0.0
30,EMNIST,48,0.0
30,EMNIST,49,0.0
30,EMNIST,50,0.0
30,EMNIST,51,0.3
30,EMNIST,52,0.0
30,EMNIST,53,0.0
30,EMNIST,54,0.0
30,EMNIST,55,0.0
30,EMNIST,56,0.0
30,EMNIST,57,0.0
30,EMNIST,58,0.0
30,EMNIST,59,0.0
30,EMNIST,60,1.73
30,EMNIST,61,0.24
30,CIFAR10,0,35.6
30,CIFAR10,1,42.09
30,CIFAR10,2,16.37
30,CIFAR10,3,29.01
30,CIFAR10,4,4.18
30,CIFAR10,5,20.33
30,CIFAR10,6,14.73
30,CIFAR10,7,30.44
30,CIFAR10,8,10.22
30,CIFAR10,9,38.57
31,MNIST,0,90.24
31,MNIST,1,79.07
31,MNIST,2,92.65
31,MNIST,3,92.27
31,MNIST,4,93.84
31,MNIST,5,91.86
31,MNIST,6,33.52
31,MNIST,7,85.67
31,MNIST,8,85.78
31,MNIST,9,22.11
31,EMNIST,0,92.27
31,EMNIST,1,56.47
31,EMNIST,2,93.2
31,EMNIST,3,92.89
31,EMNIST,4,92.97
31,EMNIST,5,87.37
31,EMNIST,6,46.04
31,EMNIST,7,72.14
31,EMNIST,8,92.17
31,EMNIST,9,27.81
31,EMNIST,10,0.0
31,EMNIST,11,1.86
31,EMNIST,12,0.0
31,EMNIST,13,0.85
31,EMNIST,14,29.07
31,EMNIST,15,1.83
31,EMNIST,16,0.25
31,EMNIST,17,1.27
31,EMNIST,18,0.0
31,EMNIST,19,22.81
31,EMNIST,20,4.31
31,EMNIST,21,0.0
31,EMNIST,22,0.0
31,EMNIST,23,0.0
31,EMNIST,24,0.0
31,EMNIST,25,0.0
31,EMNIST,26,4.52
31,EMNIST,27,2.04
31,EMNIST,28,0.06
31,EMNIST,29,0.0
31,EMNIST,30,0.0
31,EMNIST,31,0.0
31,EMNIST,32,4.64
31,EMNIST,33,0.25
31,EMNIST,34,7.16
31,EMNIST,35,18.25
31,EMNIST,36,0.07
31,EMNIST,37,0.0
31,EMNIST,38,0.0
31,EMNIST,39,0.0
31,EMNIST,40,0.0
31,EMNIST,41,3.85
