Time: 2026-04-17 23:26:27
Log Dir: /home/unshun/multi-FL/logs/Local_iid_het_gb40/new_client_2026-04-17_23-26-27/
================================================================================Loading checkpoints from logs/Local_iid_het_gb40/Local/
Method selected: NAYER
Loaded SqueezeNet for CIFAR10 from client_model_CIFAR10_c31_SqueezeNet.pth
Loaded MLP for CIFAR10 from client_model_CIFAR10_c22_MLP.pth
Loaded ResNet8 for CIFAR10 from client_model_CIFAR10_c24_ResNet8.pth
Loaded CNN for CIFAR10 from client_model_CIFAR10_c23_CNN.pth
Loaded ResNet18 for CIFAR10 from client_model_CIFAR10_c25_ResNet18.pth
Loaded MobileNetV2 for CIFAR10 from client_model_CIFAR10_c26_MobileNetV2.pth
Loaded LeNet for CIFAR10 from client_model_CIFAR10_c28_LeNet.pth
Loaded ShuffleNet for CIFAR10 from client_model_CIFAR10_c30_ShuffleNet.pth
Loaded MobileNetV3 for CIFAR10 from client_model_CIFAR10_c27_MobileNetV3.pth
Loaded AlexNet for CIFAR10 from client_model_CIFAR10_c29_AlexNet.pth
WARNING: No models loaded for dataset: FashionMNIST.
WARNING: No models loaded for dataset: CIFAR100.

========================================
>>> [METHOD: SYNTHETIC] Starting Synthetic Label Mapping...
========================================
>>> Target Methods to Run: ['NAYER']
>>> [Syn] Loaded client data distributions directly from server checkpoint.

########################################
>>> [Syn] Running Method: NAYER
########################################

>>> Syn-NAYER Training Old Generators...
[Testing] Training Per-Dataset Generators Offline (Old Gen Method) using NAYER...
--- NAYER Generator Configuration ---
    epochs: 120
    g_loops: 2
    g_steps: 30
    g_life: 10
    kd_steps: 400
    warmup: 20
    gwp_loops: 10
    lr_g: 0.004
    ce: 0.5
    bn: 10.0
    adv: 1.33
    student_lr: 0.2
------------------------------------
    -> Loading CLIP ViT-B/32 label embeddings for 10 classes...
    -> [Epoch 83] Student Test Accuracy for CIFAR10: 20.79%
    -> [Epoch 84] Student Test Accuracy for CIFAR10: 20.84%
    -> [Epoch 85] Student Test Accuracy for CIFAR10: 21.31%
    -> [Epoch 86] Student Test Accuracy for CIFAR10: 21.87%
    -> [Epoch 87] Student Test Accuracy for CIFAR10: 19.78%
    -> [Epoch 88] Student Test Accuracy for CIFAR10: 20.21%
    -> [Epoch 89] Student Test Accuracy for CIFAR10: 19.79%
    -> [Epoch 90] Student Test Accuracy for CIFAR10: 21.37%
    -> [Epoch 91] Student Test Accuracy for CIFAR10: 26.34%
    -> [Epoch 92] Student Test Accuracy for CIFAR10: 26.72%
    -> [Epoch 93] Student Test Accuracy for CIFAR10: 20.21%
    -> [Epoch 94] Student Test Accuracy for CIFAR10: 21.19%
    -> [Epoch 95] Student Test Accuracy for CIFAR10: 23.18%
    -> [Epoch 96] Student Test Accuracy for CIFAR10: 24.24%
    -> [Epoch 97] Student Test Accuracy for CIFAR10: 23.14%
    -> [Epoch 98] Student Test Accuracy for CIFAR10: 25.57%
    -> [Epoch 99] Student Test Accuracy for CIFAR10: 24.53%
    -> [Epoch 100] Student Test Accuracy for CIFAR10: 23.22%
    -> [Epoch 101] Student Test Accuracy for CIFAR10: 23.87%
    -> [Epoch 102] Student Test Accuracy for CIFAR10: 23.79%
    -> [Epoch 103] Student Test Accuracy for CIFAR10: 21.16%
    -> [Epoch 104] Student Test Accuracy for CIFAR10: 25.99%
    -> [Epoch 105] Student Test Accuracy for CIFAR10: 21.00%
    -> [Epoch 106] Student Test Accuracy for CIFAR10: 24.99%
    -> [Epoch 107] Student Test Accuracy for CIFAR10: 22.03%
    -> [Epoch 108] Student Test Accuracy for CIFAR10: 22.95%
    -> [Epoch 109] Student Test Accuracy for CIFAR10: 25.73%
    -> [Epoch 110] Student Test Accuracy for CIFAR10: 25.34%
    -> [Epoch 111] Student Test Accuracy for CIFAR10: 23.89%
    -> [Epoch 112] Student Test Accuracy for CIFAR10: 24.14%
    -> [Epoch 113] Student Test Accuracy for CIFAR10: 21.28%
    -> [Epoch 114] Student Test Accuracy for CIFAR10: 25.05%
    -> [Epoch 115] Student Test Accuracy for CIFAR10: 25.63%
    -> [Epoch 116] Student Test Accuracy for CIFAR10: 26.27%
    -> [Epoch 117] Student Test Accuracy for CIFAR10: 26.07%
    -> [Epoch 118] Student Test Accuracy for CIFAR10: 25.82%
    -> [Epoch 119] Student Test Accuracy for CIFAR10: 26.18%
    Dataset [CIFAR10] Generator | Epochs: 120 | Final Loss: 124.4097
    -> Student Accuracy per Epoch saved to /home/unshun/multi-FL/logs/Local_iid_het_gb40/new_client_2026-04-17_23-26-27/NAYER_CIFAR10_student_acc.csv
-> [New] Gen images saved to /home/unshun/multi-FL/logs/Local_iid_het_gb40/new_client_2026-04-17_23-26-27/NAYER_CIFAR10__gen_img_old.png
