Round,Dataset,Local_Class,Accuracy
26,EMNIST,40,93.01
26,EMNIST,41,60.16
26,EMNIST,42,64.18
26,EMNIST,43,92.94
26,EMNIST,44,42.42
26,EMNIST,45,90.66
26,EMNIST,46,40.33
26,EMNIST,47,1.08
26,EMNIST,48,94.31
26,EMNIST,49,90.15
26,EMNIST,50,82.08
26,EMNIST,51,74.33
26,EMNIST,52,33.26
26,EMNIST,53,91.18
26,EMNIST,54,39.2
26,EMNIST,55,91.43
26,EMNIST,56,23.23
26,EMNIST,57,48.36
26,EMNIST,58,84.94
26,EMNIST,59,51.17
26,EMNIST,60,78.39
26,EMNIST,61,83.9
26,CIFAR10,0,46.59
26,CIFAR10,1,54.95
26,CIFAR10,2,45.71
26,CIFAR10,3,22.86
26,CIFAR10,4,58.79
26,CIFAR10,5,20.88
26,CIFAR10,6,33.52
26,CIFAR10,7,22.64
26,CIFAR10,8,77.91
26,CIFAR10,9,60.44
27,MNIST,0,98.65
27,MNIST,1,98.35
27,MNIST,2,94.89
27,MNIST,3,99.35
27,MNIST,4,95.18
27,MNIST,5,87.18
27,MNIST,6,89.78
27,MNIST,7,98.93
27,MNIST,8,94.81
27,MNIST,9,95.97
27,EMNIST,0,18.88
27,EMNIST,1,18.04
27,EMNIST,2,88.19
27,EMNIST,3,98.62
27,EMNIST,4,87.26
27,EMNIST,5,80.04
27,EMNIST,6,61.85
27,EMNIST,7,96.51
27,EMNIST,8,88.4
27,EMNIST,9,81.97
27,EMNIST,10,95.65
27,EMNIST,11,96.44
27,EMNIST,12,53.26
27,EMNIST,13,89.7
27,EMNIST,14,92.89
27,EMNIST,15,70.99
27,EMNIST,16,92.87
27,EMNIST,17,93.04
27,EMNIST,18,13.0
27,EMNIST,19,82.98
27,EMNIST,20,88.51
27,EMNIST,21,91.72
27,EMNIST,22,79.85
27,EMNIST,23,96.99
27,EMNIST,24,6.46
27,EMNIST,25,56.22
27,EMNIST,26,90.43
27,EMNIST,27,90.9
27,EMNIST,28,57.84
27,EMNIST,29,95.88
27,EMNIST,30,70.99
27,EMNIST,31,68.92
27,EMNIST,32,71.49
27,EMNIST,33,85.24
27,EMNIST,34,60.74
27,EMNIST,35,75.12
27,EMNIST,36,79.46
27,EMNIST,37,91.49
27,EMNIST,38,58.78
27,EMNIST,39,91.9
27,EMNIST,40,93.49
27,EMNIST,41,38.74
27,EMNIST,42,58.77
27,EMNIST,43,92.57
27,EMNIST,44,75.32
27,EMNIST,45,79.24
27,EMNIST,46,39.86
27,EMNIST,47,64.56
27,EMNIST,48,19.91
27,EMNIST,49,89.4
27,EMNIST,50,81.6
27,EMNIST,51,77.91
27,EMNIST,52,38.04
27,EMNIST,53,91.47
27,EMNIST,54,38.19
27,EMNIST,55,87.61
27,EMNIST,56,20.73
27,EMNIST,57,38.03
27,EMNIST,58,67.29
27,EMNIST,59,43.93
27,EMNIST,60,61.96
27,EMNIST,61,54.39
27,CIFAR10,0,26.7
27,CIFAR10,1,32.75
27,CIFAR10,2,32.86
27,CIFAR10,3,57.25
27,CIFAR10,4,36.48
27,CIFAR10,5,53.74
27,CIFAR10,6,48.79
27,CIFAR10,7,38.13
27,CIFAR10,8,68.02
27,CIFAR10,9,40.55
28,MNIST,0,97.42
28,MNIST,1,97.19
28,MNIST,2,93.61
28,MNIST,3,96.95
28,MNIST,4,95.97
28,MNIST,5,96.55
28,MNIST,6,96.67
28,MNIST,7,98.82
28,MNIST,8,96.5
28,MNIST,9,91.07
28,EMNIST,0,50.24
28,EMNIST,1,54.82
28,EMNIST,2,81.99
28,EMNIST,3,96.79
28,EMNIST,4,83.99
28,EMNIST,5,84.09
28,EMNIST,6,93.06
28,EMNIST,7,98.55
28,EMNIST,8,90.82
28,EMNIST,9,80.7
28,EMNIST,10,80.02
28,EMNIST,11,93.56
28,EMNIST,12,18.15
28,EMNIST,13,85.05
28,EMNIST,14,95.22
28,EMNIST,15,50.0
28,EMNIST,16,92.87
28,EMNIST,17,92.83
28,EMNIST,18,63.64
28,EMNIST,19,79.65
28,EMNIST,20,60.63
28,EMNIST,21,89.96
28,EMNIST,22,40.59
28,EMNIST,23,87.31
28,EMNIST,24,68.62
28,EMNIST,25,67.64
28,EMNIST,26,89.1
28,EMNIST,27,87.64
28,EMNIST,28,55.99
28,EMNIST,29,95.12
28,EMNIST,30,74.56
28,EMNIST,31,73.62
28,EMNIST,32,79.26
28,EMNIST,33,78.37
28,EMNIST,34,81.82
28,EMNIST,35,69.19
28,EMNIST,36,87.56
28,EMNIST,37,84.28
28,EMNIST,38,93.89
28,EMNIST,39,93.53
28,EMNIST,40,95.19
28,EMNIST,41,74.73
28,EMNIST,42,57.28
28,EMNIST,43,83.94
28,EMNIST,44,54.5
28,EMNIST,45,78.2
28,EMNIST,46,74.76
28,EMNIST,47,23.73
28,EMNIST,48,65.88
28,EMNIST,49,94.96
28,EMNIST,50,11.32
28,EMNIST,51,65.97
28,EMNIST,52,48.26
28,EMNIST,53,91.0
28,EMNIST,54,41.46
28,EMNIST,55,75.11
28,EMNIST,56,25.97
28,EMNIST,57,37.32
28,EMNIST,58,62.82
28,EMNIST,59,57.24
28,EMNIST,60,39.19
28,EMNIST,61,66.34
28,CIFAR10,0,61.1
28,CIFAR10,1,66.26
28,CIFAR10,2,18.68
28,CIFAR10,3,64.07
28,CIFAR10,4,36.04
28,CIFAR10,5,38.9
28,CIFAR10,6,50.33
28,CIFAR10,7,57.91
28,CIFAR10,8,55.16
28,CIFAR10,9,37.91
29,MNIST,0,96.07
29,MNIST,1,98.06
29,MNIST,2,97.76
29,MNIST,3,98.04
29,MNIST,4,96.53
29,MNIST,5,98.77
29,MNIST,6,97.47
29,MNIST,7,95.29
29,MNIST,8,99.21
29,MNIST,9,96.3
29,EMNIST,0,21.89
29,EMNIST,1,28.64
29,EMNIST,2,90.14
29,EMNIST,3,96.74
29,EMNIST,4,88.45
29,EMNIST,5,95.19
29,EMNIST,6,86.95
29,EMNIST,7,97.42
29,EMNIST,8,97.32
29,EMNIST,9,72.92
29,EMNIST,10,91.3
29,EMNIST,11,93.39
29,EMNIST,12,70.84
29,EMNIST,13,93.94
29,EMNIST,14,94.7
29,EMNIST,15,55.65
29,EMNIST,16,91.15
29,EMNIST,17,96.41
29,EMNIST,18,36.95
29,EMNIST,19,85.61
29,EMNIST,20,86.21
