global_round,entropy_ratio,confuse_model_ratio,vote_mode,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.4,0.7,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,0.7,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,0.8,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,0.8,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,0.9,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,0.9,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,1.0,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.4,1.0,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.1,True,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.45,0.1,False,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.45,0.2,True,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.45,0.2,False,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.45,0.3,True,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.45,0.3,False,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.45,0.4,True,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.45,0.4,False,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.45,0.5,True,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
5,0.45,0.5,False,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
5,0.45,0.6,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.6,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.7,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.7,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.8,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.8,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.9,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,0.9,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,1.0,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.45,1.0,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.1,True,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.5,0.1,False,0.5,1.0,1.0,0.75,0.6666666666666666,0.7057813689974891,5,0,1330,5
5,0.5,0.2,True,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.5,0.2,False,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.5,0.3,True,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.5,0.3,False,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.5,0.4,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.4,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.5,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.5,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.6,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.6,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.7,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.7,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.8,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.8,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.5,0.9,True,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.5,0.9,False,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.5,1.0,True,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.5,1.0,False,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.55,0.1,True,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.55,0.1,False,0.6,1.0,1.0,0.8,0.7499999999999999,0.7734344830366855,6,0,1330,4
5,0.55,0.2,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.2,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.3,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.3,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.4,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.4,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.5,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.5,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.6,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.6,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.7,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.7,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.8,True,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.8,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.55,0.9,True,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.55,0.9,False,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.55,1.0,True,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.55,1.0,False,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.6,0.1,True,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
5,0.6,0.1,False,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
5,0.6,0.2,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.6,0.2,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,0.3,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.6,0.3,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,0.4,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.6,0.4,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,0.5,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.6,0.5,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,0.6,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.6,0.6,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,0.7,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.6,0.7,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.6,0.8,True,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.6,0.8,False,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.6,0.9,True,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.6,0.9,False,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.6,1.0,True,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.6,1.0,False,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.65,0.1,True,0.8,1.0,1.0,0.9,0.888888888888889,0.8937554468638492,8,0,1330,2
5,0.65,0.1,False,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.65,0.2,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.65,0.2,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.65,0.3,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.65,0.3,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.65,0.4,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.65,0.4,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.65,0.5,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.65,0.5,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.65,0.6,True,0.9,1.0,1.0,0.95,0.9473684210526316,0.9483268511853856,9,0,1330,1
5,0.65,0.6,False,1.0,1.0,1.0,1.0,1.0,1.0,10,0,1330,0
5,0.65,0.7,True,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.65,0.7,False,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.65,0.8,True,0.9,0.9984962406015038,0.8181818181818182,0.9492481203007519,0.8571428571428572,0.8570047948283871,9,2,1328,1
5,0.65,0.8,False,1.0,0.9984962406015038,0.8333333333333334,0.9992481203007519,0.9090909090909091,0.9121843018278999,10,2,1328,0
5,0.65,0.9,True,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.65,0.9,False,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
5,0.65,1.0,True,0.9,0.9969924812030075,0.6923076923076923,0.9484962406015038,0.7826086956521738,0.7876032246830574,9,4,1326,1
5,0.65,1.0,False,1.0,0.9969924812030075,0.7142857142857143,0.9984962406015038,0.8333333333333333,0.8438823890647184,10,4,1326,0
