global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
25,0.95,0.13596491228070176,0.9995688261291366,0.8857142857142857,0.5677668692049191,0.23574144486692014,0.3423809618848821,31,4,9273,197
25,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,9277,228
30,0.1,0.40789473684210525,0.9849089145197801,0.39914163090128757,0.6964018256809427,0.403470715835141,0.38867091790018826,93,140,9137,135
30,0.15,0.40789473684210525,0.9857712622615069,0.41333333333333333,0.6968329995518061,0.41059602649006616,0.396217689464084,93,132,9145,135
30,0.2,0.40350877192982454,0.9864180230678021,0.42201834862385323,0.6949633974988133,0.41255605381165916,0.39855504627993094,92,126,9151,136
30,0.25,0.3991228070175439,0.9866336100032338,0.4232558139534884,0.6928782085103888,0.4108352144469526,0.39696962229909555,91,124,9153,137
30,0.3,0.39473684210526316,0.9870647838740972,0.42857142857142855,0.6909008129896802,0.4109589041095891,0.39744279741713356,90,120,9157,138
30,0.35,0.3815789473684211,0.9870647838740972,0.42028985507246375,0.6843218656212592,0.4,0.38645427093466683,87,120,9157,141
30,0.4,0.37719298245614036,0.9870647838740972,0.4174757281553398,0.6821288831651188,0.39631336405529954,0.3827615352668983,86,120,9157,142
30,0.45,0.37719298245614036,0.9878193381481082,0.4321608040201005,0.6825061603021243,0.40281030444964877,0.39009525107619636,86,113,9164,142
30,0.5,0.3684210526315789,0.9878193381481082,0.4263959390862944,0.6781201953898436,0.3952941176470588,0.38260713084537973,84,113,9164,144
30,0.55,0.36403508771929827,0.9893284466961302,0.45604395604395603,0.6766817672077142,0.4048780487804878,0.39452942167508004,83,99,9178,145
30,0.6,0.3508771929824561,0.9926700441953218,0.5405405405405406,0.671773618588889,0.425531914893617,0.4245789802639825,80,68,9209,148
30,0.65,0.3333333333333333,0.9963350220976609,0.6909090909090909,0.6648341777154971,0.44970414201183434,0.4716325044543229,76,34,9243,152
30,0.7,0.27631578947368424,0.9970895763716718,0.7,0.6367026829226781,0.39622641509433965,0.4319632685156418,63,27,9250,165
30,0.75,0.18421052631578946,0.9985986849196938,0.7636363636363637,0.5914046056177417,0.2968197879858657,0.3687839635242023,42,13,9264,186
30,0.8,0.18421052631578946,0.9985986849196938,0.7636363636363637,0.5914046056177417,0.2968197879858657,0.3687839635242023,42,13,9264,186
30,0.85,0.15789473684210525,0.9991376522582731,0.8181818181818182,0.5785161945501892,0.2647058823529412,0.35396928649856374,36,8,9269,192
30,0.9,0.15789473684210525,0.9994610326614207,0.8780487804878049,0.578677884751763,0.2676579925650558,0.36738767168426195,36,5,9272,192
30,0.95,0.14912280701754385,1.0,1.0,0.5745614035087719,0.2595419847328244,0.38218874637092176,34,0,9277,194
30,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,9277,228
35,0.1,0.37719298245614036,0.9833998059717581,0.35833333333333334,0.6802963942139493,0.3675213675213675,0.3516899079547033,86,154,9123,142
35,0.15,0.37719298245614036,0.9842621537134849,0.3706896551724138,0.6807275680848126,0.37391304347826093,0.3584028708738708,86,146,9131,142
35,0.2,0.37280701754385964,0.9845855341166325,0.37280701754385964,0.678696275830246,0.37280701754385964,0.35739255166049216,85,143,9134,143
35,0.25,0.36403508771929827,0.9854478818583594,0.38073394495412843,0.6747414847888289,0.37219730941704043,0.35721628495656177,83,135,9142,145
35,0.3,0.35526315789473684,0.9862024361323704,0.3875598086124402,0.6707327970135536,0.3707093821510297,0.356284518939034,81,128,9149,147
35,0.35,0.33771929824561403,0.986525816535518,0.3811881188118812,0.662122557390566,0.35813953488372097,0.3439992123158192,77,125,9152,151
35,0.4,0.3333333333333333,0.986525816535518,0.3781094527363184,0.6599295749344256,0.35431235431235425,0.34017085442639244,76,125,9152,152
35,0.45,0.32894736842105265,0.9867414034709496,0.3787878787878788,0.6578443859460011,0.352112676056338,0.3382150159325668,75,123,9154,153
35,0.5,0.3201754385964912,0.9872803708095289,0.38219895287958117,0.65372790470301,0.3484486873508353,0.33525024574447054,73,118,9159,155
35,0.55,0.3201754385964912,0.9884660989544034,0.40555555555555556,0.6543207687754473,0.35784313725490197,0.34646941503767137,73,107,9170,155
