Time: 2026-04-18 02:55:00
Log Dir: /home/unshun/multi-FL/logs/Local_noniid_het_gb40/new_client_2026-04-18_02-55-00/
================================================================================Loading checkpoints from logs/Local_noniid_het_gb40/Local/
Method selected: NAYER
Loaded SqueezeNet for CIFAR10 from client_model_CIFAR10_c31_SqueezeNet.pth
Loaded MLP for CIFAR10 from client_model_CIFAR10_c22_MLP.pth
Loaded ResNet8 for CIFAR10 from client_model_CIFAR10_c24_ResNet8.pth
Loaded CNN for CIFAR10 from client_model_CIFAR10_c23_CNN.pth
Loaded ResNet18 for CIFAR10 from client_model_CIFAR10_c25_ResNet18.pth
Loaded MobileNetV2 for CIFAR10 from client_model_CIFAR10_c26_MobileNetV2.pth
Loaded LeNet for CIFAR10 from client_model_CIFAR10_c28_LeNet.pth
Loaded ShuffleNet for CIFAR10 from client_model_CIFAR10_c30_ShuffleNet.pth
Loaded MobileNetV3 for CIFAR10 from client_model_CIFAR10_c27_MobileNetV3.pth
Loaded AlexNet for CIFAR10 from client_model_CIFAR10_c29_AlexNet.pth
WARNING: No models loaded for dataset: FashionMNIST.
WARNING: No models loaded for dataset: CIFAR100.

========================================
>>> [METHOD: SYNTHETIC] Starting Synthetic Label Mapping...
========================================
>>> Target Methods to Run: ['NAYER']
>>> [Syn] Loaded client data distributions directly from server checkpoint.

########################################
>>> [Syn] Running Method: NAYER
########################################

>>> Syn-NAYER Training Old Generators...
[Testing] Training Per-Dataset Generators Offline (Old Gen Method) using NAYER...
--- NAYER Generator Configuration ---
    epochs: 120
    g_loops: 2
    g_steps: 30
    g_life: 10
    kd_steps: 400
    warmup: 20
    gwp_loops: 10
    lr_g: 0.004
    ce: 0.5
    bn: 10.0
    adv: 1.33
    student_lr: 0.2
------------------------------------
    -> Loading CLIP ViT-B/32 label embeddings for 10 classes...
    -> [Epoch 27] Student Test Accuracy for CIFAR10: 12.97%
    -> [Epoch 28] Student Test Accuracy for CIFAR10: 14.72%
    -> [Epoch 29] Student Test Accuracy for CIFAR10: 15.77%
    -> [Epoch 30] Student Test Accuracy for CIFAR10: 13.06%
    -> [Epoch 31] Student Test Accuracy for CIFAR10: 10.01%
    -> [Epoch 32] Student Test Accuracy for CIFAR10: 12.23%
    -> [Epoch 33] Student Test Accuracy for CIFAR10: 12.75%
    -> [Epoch 34] Student Test Accuracy for CIFAR10: 10.60%
    -> [Epoch 35] Student Test Accuracy for CIFAR10: 13.26%
    -> [Epoch 36] Student Test Accuracy for CIFAR10: 13.88%
    -> [Epoch 37] Student Test Accuracy for CIFAR10: 16.26%
    -> [Epoch 38] Student Test Accuracy for CIFAR10: 10.40%
    -> [Epoch 39] Student Test Accuracy for CIFAR10: 12.21%
    -> [Epoch 40] Student Test Accuracy for CIFAR10: 11.20%
    -> [Epoch 41] Student Test Accuracy for CIFAR10: 12.80%
    -> [Epoch 42] Student Test Accuracy for CIFAR10: 12.60%
    -> [Epoch 43] Student Test Accuracy for CIFAR10: 15.33%
    -> [Epoch 44] Student Test Accuracy for CIFAR10: 13.28%
    -> [Epoch 45] Student Test Accuracy for CIFAR10: 12.43%
    -> [Epoch 46] Student Test Accuracy for CIFAR10: 15.30%
    -> [Epoch 47] Student Test Accuracy for CIFAR10: 14.57%
    -> [Epoch 48] Student Test Accuracy for CIFAR10: 15.12%
    -> [Epoch 49] Student Test Accuracy for CIFAR10: 11.28%
    -> [Epoch 50] Student Test Accuracy for CIFAR10: 11.42%
    -> [Epoch 51] Student Test Accuracy for CIFAR10: 12.70%
    -> [Epoch 52] Student Test Accuracy for CIFAR10: 12.98%
    -> [Epoch 53] Student Test Accuracy for CIFAR10: 14.89%
    -> [Epoch 54] Student Test Accuracy for CIFAR10: 13.47%
    -> [Epoch 55] Student Test Accuracy for CIFAR10: 15.45%
    -> [Epoch 56] Student Test Accuracy for CIFAR10: 14.76%
    -> [Epoch 57] Student Test Accuracy for CIFAR10: 11.51%
    -> [Epoch 58] Student Test Accuracy for CIFAR10: 13.81%
    -> [Epoch 59] Student Test Accuracy for CIFAR10: 11.90%
    -> [Epoch 60] Student Test Accuracy for CIFAR10: 14.47%
    -> [Epoch 61] Student Test Accuracy for CIFAR10: 12.07%
    -> [Epoch 62] Student Test Accuracy for CIFAR10: 15.95%
    -> [Epoch 63] Student Test Accuracy for CIFAR10: 11.87%
    -> [Epoch 64] Student Test Accuracy for CIFAR10: 12.82%
    -> [Epoch 65] Student Test Accuracy for CIFAR10: 14.21%
    -> [Epoch 66] Student Test Accuracy for CIFAR10: 14.31%
    -> [Epoch 67] Student Test Accuracy for CIFAR10: 13.14%
    -> [Epoch 68] Student Test Accuracy for CIFAR10: 14.88%
    -> [Epoch 69] Student Test Accuracy for CIFAR10: 15.61%
    -> [Epoch 70] Student Test Accuracy for CIFAR10: 13.21%
    -> [Epoch 71] Student Test Accuracy for CIFAR10: 15.18%
    -> [Epoch 72] Student Test Accuracy for CIFAR10: 12.92%
    -> [Epoch 73] Student Test Accuracy for CIFAR10: 15.12%
    -> [Epoch 74] Student Test Accuracy for CIFAR10: 18.96%
    -> [Epoch 75] Student Test Accuracy for CIFAR10: 13.13%
    -> [Epoch 76] Student Test Accuracy for CIFAR10: 15.65%
    -> [Epoch 77] Student Test Accuracy for CIFAR10: 12.65%
    -> [Epoch 78] Student Test Accuracy for CIFAR10: 15.48%
    -> [Epoch 79] Student Test Accuracy for CIFAR10: 15.85%
    -> [Epoch 80] Student Test Accuracy for CIFAR10: 13.99%
    -> [Epoch 81] Student Test Accuracy for CIFAR10: 15.60%
    -> [Epoch 82] Student Test Accuracy for CIFAR10: 15.14%
    -> [Epoch 83] Student Test Accuracy for CIFAR10: 18.01%
    -> [Epoch 84] Student Test Accuracy for CIFAR10: 11.63%
    -> [Epoch 85] Student Test Accuracy for CIFAR10: 16.15%
    -> [Epoch 86] Student Test Accuracy for CIFAR10: 15.90%
    -> [Epoch 87] Student Test Accuracy for CIFAR10: 12.96%
    -> [Epoch 88] Student Test Accuracy for CIFAR10: 12.79%
    -> [Epoch 89] Student Test Accuracy for CIFAR10: 15.50%
    -> [Epoch 90] Student Test Accuracy for CIFAR10: 15.38%
    -> [Epoch 91] Student Test Accuracy for CIFAR10: 16.71%
    -> [Epoch 92] Student Test Accuracy for CIFAR10: 13.32%
    -> [Epoch 93] Student Test Accuracy for CIFAR10: 16.44%
    -> [Epoch 94] Student Test Accuracy for CIFAR10: 15.58%
    -> [Epoch 95] Student Test Accuracy for CIFAR10: 15.17%
    -> [Epoch 96] Student Test Accuracy for CIFAR10: 12.97%
    -> [Epoch 97] Student Test Accuracy for CIFAR10: 14.38%
    -> [Epoch 98] Student Test Accuracy for CIFAR10: 13.30%
    -> [Epoch 99] Student Test Accuracy for CIFAR10: 13.45%
    -> [Epoch 100] Student Test Accuracy for CIFAR10: 14.34%
    -> [Epoch 101] Student Test Accuracy for CIFAR10: 13.02%
    -> [Epoch 102] Student Test Accuracy for CIFAR10: 15.61%
    -> [Epoch 103] Student Test Accuracy for CIFAR10: 10.95%
    -> [Epoch 104] Student Test Accuracy for CIFAR10: 18.01%
    -> [Epoch 105] Student Test Accuracy for CIFAR10: 15.21%
    -> [Epoch 106] Student Test Accuracy for CIFAR10: 17.39%
    -> [Epoch 107] Student Test Accuracy for CIFAR10: 13.42%
    -> [Epoch 108] Student Test Accuracy for CIFAR10: 11.45%
    -> [Epoch 109] Student Test Accuracy for CIFAR10: 17.62%
    -> [Epoch 110] Student Test Accuracy for CIFAR10: 14.76%
    -> [Epoch 111] Student Test Accuracy for CIFAR10: 13.49%
    -> [Epoch 112] Student Test Accuracy for CIFAR10: 12.72%
    -> [Epoch 113] Student Test Accuracy for CIFAR10: 14.17%
    -> [Epoch 114] Student Test Accuracy for CIFAR10: 14.57%
    -> [Epoch 115] Student Test Accuracy for CIFAR10: 16.51%
    -> [Epoch 116] Student Test Accuracy for CIFAR10: 16.95%
    -> [Epoch 117] Student Test Accuracy for CIFAR10: 19.32%
    -> [Epoch 118] Student Test Accuracy for CIFAR10: 11.37%
    -> [Epoch 119] Student Test Accuracy for CIFAR10: 14.21%
    Dataset [CIFAR10] Generator | Epochs: 120 | Final Loss: 155.5186
    -> Student Accuracy per Epoch saved to /home/unshun/multi-FL/logs/Local_noniid_het_gb40/new_client_2026-04-18_02-55-00/NAYER_CIFAR10_student_acc.csv
-> [New] Gen images saved to /home/unshun/multi-FL/logs/Local_noniid_het_gb40/new_client_2026-04-18_02-55-00/NAYER_CIFAR10__gen_img_old.png
