global_round,missing_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
10,0.1,0.31,0.9936897730805098,0.564844587352626,0.6518448865402549,0.40030383592859853,0.40751208448411125,527,406,63934,1173
10,0.15,0.30176470588235293,0.9945912340690084,0.5958188153310104,0.6481779699756807,0.40062475595470515,0.4137358968174491,513,348,63992,1187
10,0.2,0.3,0.9953528131799814,0.630407911001236,0.6476764065899907,0.40653646871263455,0.42521132386928523,510,299,64041,1190
10,0.25,0.29352941176470587,0.9958190861050669,0.6497395833333334,0.6446742489348863,0.4043760129659643,0.4274075120554863,499,269,64071,1201
10,0.3,0.2776470588235294,0.9968138016785826,0.6971935007385525,0.637230430251056,0.39713925115692045,0.43150425913056745,472,205,64135,1228
10,0.35,0.26,0.997451041342866,0.7293729372937293,0.6287255206714331,0.383347788378144,0.4275841468257681,442,164,64176,1258
10,0.4,0.23647058823529413,0.9978240596829344,0.7416974169741697,0.6171473239591143,0.35860838537020523,0.41125737032835846,402,140,64200,1298
10,0.45,0.20411764705882354,0.9985234690705627,0.7850678733031674,0.6013205580646931,0.3239962651727358,0.39358281166288994,347,95,64245,1353
10,0.5,0.18294117647058825,0.9988809449797948,0.8120104438642297,0.5909110607251915,0.2986077772443591,0.379203035465125,311,72,64268,1389
10,0.55,0.17823529411764705,0.9989431147031396,0.816711590296496,0.5885892044103933,0.29261226460647033,0.3754124141644526,303,68,64272,1397
10,0.6,0.15941176470588236,0.9990519117189929,0.8162650602409639,0.5792318382124376,0.26673228346456695,0.3548269109780815,271,61,64279,1429
10,0.65,0.14294117647058824,0.9992228784581909,0.8293515358361775,0.5710820274643895,0.24385348720521827,0.3387528912576819,243,50,64290,1457
10,0.7,0.12294117647058823,0.9995492695057507,0.8781512605042017,0.5612452229881695,0.21568627450980388,0.3237122835377515,209,29,64311,1491
10,0.75,0.1011764705882353,0.9998445756916382,0.945054945054945,0.5505105231399368,0.18278427205100958,0.30516652218989054,172,10,64330,1528
10,0.8,0.08,0.9999689151383276,0.9855072463768116,0.5399844575691638,0.1479869423286181,0.2773303200006707,136,2,64338,1564
10,0.85,0.058823529411764705,1.0,1.0,0.5294117647058824,0.1111111111111111,0.23957505481664712,100,0,64340,1600
10,0.9,0.03529411764705882,1.0,1.0,0.5176470588235295,0.06818181818181818,0.18551777936281877,60,0,64340,1640
10,0.95,0.01,1.0,1.0,0.505,0.019801980198019802,0.09871721649580442,17,0,64340,1683
10,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,64340,1700
15,0.1,0.28705882352941176,0.9932545850170966,0.5292841648590022,0.6401567042732542,0.37223493516399697,0.378349247122924,488,434,63906,1212
15,0.15,0.2788235294117647,0.9941249611439229,0.5563380281690141,0.6364742452778438,0.3714733542319749,0.38303817550287206,474,378,63962,1226
15,0.2,0.2741176470588235,0.9953994404724898,0.6115485564304461,0.6347585437656567,0.37855402112103975,0.39965972778098224,466,296,64044,1234
15,0.25,0.26705882352941174,0.9961921044451352,0.6494992846924177,0.6316254639872735,0.3784910379324718,0.4073834891406342,454,245,64095,1246
15,0.3,0.2564705882352941,0.9965184954926951,0.6606060606060606,0.6264945418639947,0.3694915254237288,0.40278412491811133,436,224,64116,1264
15,0.35,0.24,0.9970935654336338,0.6857142857142857,0.618546782716817,0.3555555555555555,0.3973635598921772,408,187,64153,1292
15,0.4,0.22058823529411764,0.9978551445446068,0.7309941520467836,0.6092216899193622,0.33890646181653866,0.3940352283679176,375,138,64202,1325
15,0.45,0.18470588235294116,0.9986011812247435,0.7772277227722773,0.5916535317888423,0.2984790874524715,0.37229092821205867,314,90,64250,1386
15,0.5,0.16647058823529412,0.9988187752564501,0.7883008356545961,0.5826446817458721,0.2748907236522584,0.3559940946191784,283,76,64264,1417
15,0.55,0.1423529411764706,0.9990052844264843,0.7908496732026143,0.5706791128014774,0.2412761714855434,0.32963273248816455,242,64,64276,1458
15,0.6,0.12588235294117647,0.9991917935965184,0.8045112781954887,0.5625370732688475,0.21770091556459817,0.31272643336256895,214,52,64288,1486
