Round,Dataset,Local_Class,Accuracy
25,EMNIST,59,34.11
25,EMNIST,60,33.14
25,EMNIST,61,69.27
26,MNIST,0,6.85
26,MNIST,1,0.39
26,MNIST,2,42.92
26,MNIST,3,66.92
26,MNIST,4,33.71
26,MNIST,5,64.86
26,MNIST,6,16.76
26,MNIST,7,19.04
26,MNIST,8,83.63
26,MNIST,9,14.92
26,EMNIST,0,5.18
26,EMNIST,1,0.4
26,EMNIST,2,49.04
26,EMNIST,3,68.33
26,EMNIST,4,43.43
26,EMNIST,5,61.96
26,EMNIST,6,46.12
26,EMNIST,7,14.03
26,EMNIST,8,88.65
26,EMNIST,9,2.07
26,EMNIST,10,13.35
26,EMNIST,11,57.8
26,EMNIST,12,9.36
26,EMNIST,13,56.42
26,EMNIST,14,84.75
26,EMNIST,15,42.44
26,EMNIST,16,75.43
26,EMNIST,17,49.16
26,EMNIST,18,0.43
26,EMNIST,19,55.09
26,EMNIST,20,14.94
26,EMNIST,21,19.67
26,EMNIST,22,0.3
26,EMNIST,23,24.33
26,EMNIST,24,0.48
26,EMNIST,25,8.27
26,EMNIST,26,54.79
26,EMNIST,27,32.07
26,EMNIST,28,25.71
26,EMNIST,29,6.14
26,EMNIST,30,15.0
26,EMNIST,31,7.46
26,EMNIST,32,7.64
26,EMNIST,33,7.63
26,EMNIST,34,19.97
26,EMNIST,35,34.36
26,EMNIST,36,53.51
26,EMNIST,37,39.3
26,EMNIST,38,8.4
26,EMNIST,39,43.46
26,EMNIST,40,39.22
26,EMNIST,41,15.66
26,EMNIST,42,49.81
26,EMNIST,43,8.55
26,EMNIST,44,21.08
26,EMNIST,45,24.91
26,EMNIST,46,37.97
26,EMNIST,47,0.04
26,EMNIST,48,0.0
26,EMNIST,49,5.91
26,EMNIST,50,19.58
26,EMNIST,51,52.84
26,EMNIST,52,47.39
26,EMNIST,53,24.31
26,EMNIST,54,57.79
26,EMNIST,55,89.17
26,EMNIST,56,13.44
26,EMNIST,57,0.0
26,EMNIST,58,0.0
26,EMNIST,59,36.21
26,EMNIST,60,53.6
26,EMNIST,61,47.32
27,MNIST,0,9.65
27,MNIST,1,1.55
27,MNIST,2,33.97
27,MNIST,3,72.03
27,MNIST,4,17.92
27,MNIST,5,42.17
27,MNIST,6,47.07
27,MNIST,7,16.68
27,MNIST,8,82.05
27,MNIST,9,14.38
27,EMNIST,0,5.92
27,EMNIST,1,0.57
27,EMNIST,2,46.76
27,EMNIST,3,76.69
27,EMNIST,4,41.71
27,EMNIST,5,47.74
27,EMNIST,6,57.51
27,EMNIST,7,20.44
27,EMNIST,8,83.32
27,EMNIST,9,1.24
27,EMNIST,10,14.08
27,EMNIST,11,55.76
27,EMNIST,12,11.64
27,EMNIST,13,55.99
27,EMNIST,14,68.35
27,EMNIST,15,29.24
27,EMNIST,16,69.04
27,EMNIST,17,35.23
27,EMNIST,18,0.32
27,EMNIST,19,68.42
27,EMNIST,20,15.8
27,EMNIST,21,35.41
27,EMNIST,22,3.78
27,EMNIST,23,14.97
27,EMNIST,24,13.44
27,EMNIST,25,29.37
27,EMNIST,26,51.33
27,EMNIST,27,18.61
27,EMNIST,28,14.29
27,EMNIST,29,54.57
27,EMNIST,30,9.45
27,EMNIST,31,13.81
27,EMNIST,32,9.0
27,EMNIST,33,26.97
27,EMNIST,34,34.44
27,EMNIST,35,21.33
27,EMNIST,36,65.95
27,EMNIST,37,39.05
27,EMNIST,38,28.75
27,EMNIST,39,49.02
27,EMNIST,40,46.56
27,EMNIST,41,56.59
27,EMNIST,42,65.67
27,EMNIST,43,19.7
27,EMNIST,44,23.91
27,EMNIST,45,64.01
27,EMNIST,46,35.14
27,EMNIST,47,0.35
27,EMNIST,48,0.0
27,EMNIST,49,4.98
