global_round,cs_threshold,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
20,-0.9,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
20,-0.8,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
20,-0.7,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
20,-0.6,0.5,0.987218045112782,0.22727272727272727,0.7436090225563909,0.3125,0.3299743179417637,5,17,1313,5
20,-0.5,0.5,0.9887218045112782,0.25,0.7443609022556391,0.3333333333333333,0.34688504172324497,5,15,1315,5
20,-0.4,0.5,0.9894736842105263,0.2631578947368421,0.7447368421052631,0.3448275862068966,0.3563091365839512,5,14,1316,5
20,-0.3,0.5,0.9894736842105263,0.2631578947368421,0.7447368421052631,0.3448275862068966,0.3563091365839512,5,14,1316,5
20,-0.2,0.5,0.9902255639097745,0.2777777777777778,0.7451127819548873,0.35714285714285715,0.3664964692723006,5,13,1317,5
20,-0.1,0.5,0.9902255639097745,0.2777777777777778,0.7451127819548873,0.35714285714285715,0.3664964692723006,5,13,1317,5
20,0.0,0.5,0.9917293233082707,0.3125,0.7458646616541353,0.38461538461538464,0.3896260125870488,5,11,1319,5
20,0.1,0.5,0.9917293233082707,0.3125,0.7458646616541353,0.38461538461538464,0.3896260125870488,5,11,1319,5
20,0.2,0.5,0.9917293233082707,0.3125,0.7458646616541353,0.38461538461538464,0.3896260125870488,5,11,1319,5
20,0.3,0.5,0.9932330827067669,0.35714285714285715,0.7466165413533834,0.41666666666666663,0.4174863101255319,5,9,1321,5
20,0.4,0.5,0.9932330827067669,0.35714285714285715,0.7466165413533834,0.41666666666666663,0.4174863101255319,5,9,1321,5
20,0.5,0.5,0.9939849624060151,0.38461538461538464,0.7469924812030075,0.4347826086956522,0.4337429326209294,5,8,1322,5
20,0.6,0.5,0.9939849624060151,0.38461538461538464,0.7469924812030075,0.4347826086956522,0.4337429326209294,5,8,1322,5
20,0.7,0.5,0.9947368421052631,0.4166666666666667,0.7473684210526316,0.45454545454545453,0.4519708362972576,5,7,1323,5
20,0.8,0.5,0.9947368421052631,0.4166666666666667,0.7473684210526316,0.45454545454545453,0.4519708362972576,5,7,1323,5
20,0.9,0.5,0.9962406015037594,0.5,0.7481203007518797,0.5,0.49624060150375937,5,5,1325,5
20,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
25,-1.0,0.0,0.9849624060150376,0.0,0.4924812030075188,0.0,-0.010673385899176768,0,20,1310,10
25,-0.9,0.0,0.9849624060150376,0.0,0.4924812030075188,0.0,-0.010673385899176768,0,20,1310,10
25,-0.8,0.0,0.9849624060150376,0.0,0.4924812030075188,0.0,-0.010673385899176768,0,20,1310,10
25,-0.7,0.0,0.9849624060150376,0.0,0.4924812030075188,0.0,-0.010673385899176768,0,20,1310,10
25,-0.6,0.0,0.9849624060150376,0.0,0.4924812030075188,0.0,-0.010673385899176768,0,20,1310,10
25,-0.5,0.0,0.9849624060150376,0.0,0.4924812030075188,0.0,-0.010673385899176768,0,20,1310,10
25,-0.4,0.0,0.9857142857142858,0.0,0.4928571428571429,0.0,-0.010399191390315012,0,19,1311,10
25,-0.3,0.0,0.9857142857142858,0.0,0.4928571428571429,0.0,-0.010399191390315012,0,19,1311,10
25,-0.2,0.0,0.9857142857142858,0.0,0.4928571428571429,0.0,-0.010399191390315012,0,19,1311,10
25,-0.1,0.0,0.9857142857142858,0.0,0.4928571428571429,0.0,-0.010399191390315012,0,19,1311,10
25,0.0,0.0,0.9857142857142858,0.0,0.4928571428571429,0.0,-0.010399191390315012,0,19,1311,10
25,0.1,0.0,0.9857142857142858,0.0,0.4928571428571429,0.0,-0.010399191390315012,0,19,1311,10
25,0.2,0.0,0.9864661654135338,0.0,0.4932330827067669,0.0,-0.010118000685431613,0,18,1312,10
25,0.3,0.0,0.987218045112782,0.0,0.493609022556391,0.0,-0.009829212360369008,0,17,1313,10
25,0.4,0.0,0.987218045112782,0.0,0.493609022556391,0.0,-0.009829212360369008,0,17,1313,10
25,0.5,0.0,0.9887218045112782,0.0,0.4943609022556391,0.0,-0.009225966427353566,0,15,1315,10
25,0.6,0.0,0.9894736842105263,0.0,0.49473684210526314,0.0,-0.008909768813654644,0,14,1316,10
25,0.7,0.0,0.9894736842105263,0.0,0.49473684210526314,0.0,-0.008909768813654644,0,14,1316,10
25,0.8,0.0,0.9917293233082707,0.0,0.49586466165413534,0.0,-0.007888747065365907,0,11,1319,10
25,0.9,0.0,0.9947368421052631,0.0,0.49736842105263157,0.0,-0.00628359412273749,0,7,1323,10
25,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
